tourney_name,surface,tourney_level,tourney_date,winner_id,winner_name,winner_ioc,loser_id,loser_name,loser_ioc
Brisbane,Hard,A,20181231,105453,Kei Nishikori,JPN,106421,Daniil Medvedev,RUS
Brisbane,Hard,A,20181231,106421,Daniil Medvedev,RUS,104542,Jo-Wilfried Tsonga,FRA
Brisbane,Hard,A,20181231,105453,Kei Nishikori,JPN,104871,Jeremy Chardy,FRA
Brisbane,Hard,A,20181231,104542,Jo-Wilfried Tsonga,FRA,200282,Alex De Minaur,AUS
Brisbane,Hard,A,20181231,106421,Daniil Medvedev,RUS,105683,Milos Raonic,CAN
Brisbane,Hard,A,20181231,104871,Jeremy Chardy,FRA,106034,Yasutaka Uchiyama,JPN
Brisbane,Hard,A,20181231,105453,Kei Nishikori,JPN,105777,Grigor Dimitrov,BUL
Brisbane,Hard,A,20181231,104542,Jo-Wilfried Tsonga,FRA,106121,Taro Daniel,JPN
Brisbane,Hard,A,20181231,200282,Alex De Minaur,AUS,111442,Jordan Thompson,AUS
Brisbane,Hard,A,20181231,106421,Daniil Medvedev,RUS,104918,Andy Murray,GBR
Brisbane,Hard,A,20181231,105683,Milos Raonic,CAN,200175,Miomir Kecmanovic,SRB
Brisbane,Hard,A,20181231,104871,Jeremy Chardy,FRA,106401,Nick Kyrgios,AUS
Brisbane,Hard,A,20181231,106034,Yasutaka Uchiyama,JPN,106378,Kyle Edmund,GBR
Brisbane,Hard,A,20181231,105777,Grigor Dimitrov,BUL,105357,John Millman,AUS
Brisbane,Hard,A,20181231,105453,Kei Nishikori,JPN,106045,Denis Kudla,USA
Brisbane,Hard,A,20181231,104542,Jo-Wilfried Tsonga,FRA,106423,Thanasi Kokkinakis,AUS
Brisbane,Hard,A,20181231,111442,Jordan Thompson,AUS,106109,Alex Bolt,AUS
Brisbane,Hard,A,20181231,200282,Alex De Minaur,AUS,200615,Alexei Popyrin,AUS
Brisbane,Hard,A,20181231,104918,Andy Murray,GBR,105902,James Duckworth,AUS
Brisbane,Hard,A,20181231,200175,Miomir Kecmanovic,SRB,104919,Leonardo Mayer,ARG
Brisbane,Hard,A,20181231,105683,Milos Raonic,CAN,105379,Aljaz Bedene,SLO
Brisbane,Hard,A,20181231,106401,Nick Kyrgios,AUS,105992,Ryan Harrison,USA
Brisbane,Hard,A,20181231,104871,Jeremy Chardy,FRA,105526,Jan Lennard Struff,GER
Brisbane,Hard,A,20181231,106034,Yasutaka Uchiyama,JPN,200005,Ugo Humbert,FRA
Brisbane,Hard,A,20181231,105777,Grigor Dimitrov,BUL,106415,Yoshihito Nishioka,JPN
Brisbane,Hard,A,20181231,105357,John Millman,AUS,105815,Tennys Sandgren,USA
Brisbane,Hard,A,20181231,106045,Denis Kudla,USA,126203,Taylor Fritz,USA
Doha,Hard,A,20181231,105138,Roberto Bautista Agut,ESP,104607,Tomas Berdych,CZE
Doha,Hard,A,20181231,105138,Roberto Bautista Agut,ESP,104925,Novak Djokovic,SRB
Doha,Hard,A,20181231,104607,Tomas Berdych,CZE,106065,Marco Cecchinato,ITA
Doha,Hard,A,20181231,104925,Novak Djokovic,SRB,105932,Nikoloz Basilashvili,GEO
Doha,Hard,A,20181231,105138,Roberto Bautista Agut,ESP,104527,Stan Wawrinka,SUI
Doha,Hard,A,20181231,106065,Marco Cecchinato,ITA,105583,Dusan Lajovic,SRB
Doha,Hard,A,20181231,104607,Tomas Berdych,CZE,105732,Pierre Hugues Herbert,FRA
Doha,Hard,A,20181231,104925,Novak Djokovic,SRB,105916,Marton Fucsovics,HUN
Doha,Hard,A,20181231,105932,Nikoloz Basilashvili,GEO,126094,Andrey Rublev,RUS
Doha,Hard,A,20181231,104527,Stan Wawrinka,SUI,111797,Nicolas Jarry,CHI
Doha,Hard,A,20181231,105138,Roberto Bautista Agut,ESP,104198,Guillermo Garcia Lopez,ESP
Doha,Hard,A,20181231,105583,Dusan Lajovic,SRB,105575,Ricardas Berankis,LTU
Doha,Hard,A,20181231,106065,Marco Cecchinato,ITA,105550,Guido Pella,ARG
Doha,Hard,A,20181231,104607,Tomas Berdych,CZE,104269,Fernando Verdasco,ESP
Doha,Hard,A,20181231,105732,Pierre Hugues Herbert,FRA,109739,Maximilian Marterer,GER
Doha,Hard,A,20181231,104925,Novak Djokovic,SRB,106000,Damir Dzumhur,BIH
Doha,Hard,A,20181231,105916,Marton Fucsovics,HUN,105657,Marius Copil,ROU
Doha,Hard,A,20181231,126094,Andrey Rublev,RUS,104312,Andreas Seppi,ITA
Doha,Hard,A,20181231,105932,Nikoloz Basilashvili,GEO,105077,Albert Ramos,ESP
Doha,Hard,A,20181231,104527,Stan Wawrinka,SUI,111575,Karen Khachanov,RUS
